"year","country","countMNI"
"1001","Austria",1969
"1001","Belgium",171
"1001","Croatia",49
"1001","Cyprus",5
"1001","Denmark",1100
"1001","Estonia",16
"1001","Finland",1374
"1001","France",225
"1001","Germany",628
"1001","Greece",115
"1001","Hungary",61
"1001","Ireland",300
"1001","Italy",78
"1001","Latvia",2
"1001","Luxembourg",76
"1001","Malta",71
"1001","Netherlands",772
"1001","Poland",21
"1001","Portugal",102
"1001","Spain",76
"1001","Sweden",4798
"1001","United Kingdom",2858
"1807","Belgium",2
"1808","Belgium",2
"1865","Romania",1
"1867","Belgium",4
"1868","United Kingdom",1
"1872","Germany",1
"1878","Belgium",1
"1879","Germany",2
"1881","Luxembourg",1
"1882","Belgium",3
"1883","Belgium",2
"1885","Spain",1
"1889","Finland",1
"1897","Austria",3
"1900","Germany",7
"1900","Spain",1
"1902","Belgium",1
"1903","Belgium",2
"1904","France",1
"1906","Ireland",1
"1909","Austria",44
"1917","France",2
"1918","Greece",1
"1921","Netherlands",1
"1922","Malta",1
"1922","Netherlands",1
"1925","Belgium",1
"1925","Malta",1
"1927","Finland",1
"1929","Austria",2
"1929","Belgium",1
"1930","Italy",7
"1930","Romania",1
"1931","Netherlands",1
"1931","United Kingdom",1
"1932","United Kingdom",1
"1933","Italy",2
"1933","Malta",1
"1933","United Kingdom",1
"1934","Belgium",1
"1934","Greece",5
"1934","Italy",6
"1935","Belgium",2
"1936","Belgium",1
"1936","Italy",2
"1937","Belgium",1
"1937","France",2
"1937","Ireland",1
"1937","Italy",2
"1937","Latvia",4
"1937","Malta",1
"1938","France",1
"1939","Belgium",2
"1939","Italy",1
"1939","Netherlands",1
"1940","Italy",1
"1940","Malta",1
"1940","Spain",1
"1942","Ireland",1
"1942","Italy",11
"1942","Sweden",2
"1943","France",2
"1944","Spain",1
"1945","Belgium",1
"1946","Belgium",1
"1946","France",1
"1946","Germany",1
"1946","Slovenia",1
"1946","Spain",2
"1946","Sweden",1
"1947","Czechia",1
"1947","Finland",1
"1947","France",5
"1947","Italy",3
"1947","Malta",6
"1947","Portugal",1
"1947","Sweden",1
"1948","Finland",1
"1948","France",1
"1948","United Kingdom",1
"1949","Austria",2
"1949","France",1
"1949","Germany",2
"1949","Malta",1
"1949","Netherlands",2
"1949","Sweden",2
"1949","United Kingdom",1
"1950","Belgium",1
"1950","Netherlands",4
"1950","United Kingdom",1
"1951","France",3
"1951","Portugal",1
"1952","Belgium",2
"1952","Hungary",1
"1952","Italy",2
"1952","Portugal",1
"1953","Belgium",3
"1953","Denmark",2
"1953","France",4
"1953","Germany",1
"1953","Luxembourg",1
"1953","Portugal",3
"1954","Belgium",1
"1954","France",1
"1954","Germany",1
"1954","Italy",2
"1954","Netherlands",1
"1954","United Kingdom",1
"1955","Belgium",2
"1955","Denmark",1
"1955","France",2
"1955","Luxembourg",3
"1955","United Kingdom",1
"1956","Czechia",1
"1956","Finland",1
"1956","Ireland",2
"1956","Italy",2
"1956","Spain",3
"1956","United Kingdom",2
"1957","Austria",38
"1957","Czechia",1
"1957","France",2
"1957","Germany",2
"1957","Hungary",1
"1957","Italy",1
"1957","Netherlands",1
"1957","Portugal",4
"1957","Spain",1
"1958","Belgium",2
"1958","Czechia",1
"1958","France",4
"1958","Greece",1
"1958","Netherlands",1
"1959","Finland",2
"1959","France",8
"1959","Germany",2
"1959","Hungary",1
"1959","Italy",2
"1959","Spain",3
"1960","Belgium",2
"1960","France",4
"1960","Germany",2
"1960","Netherlands",1
"1960","Spain",1
"1961","Belgium",2
"1961","Czechia",2
"1961","Denmark",1
"1961","Finland",2
"1961","France",7
"1961","Ireland",1
"1961","Italy",2
"1961","Luxembourg",2
"1961","Slovakia",2
"1962","Austria",1
"1962","Belgium",1
"1962","Denmark",3
"1962","Finland",1
"1962","France",8
"1962","Luxembourg",1
"1962","Spain",2
"1962","Sweden",2
"1962","United Kingdom",2
"1963","Belgium",2
"1963","Czechia",3
"1963","Finland",2
"1963","France",4
"1963","Ireland",1
"1963","Italy",4
"1963","Luxembourg",2
"1963","Netherlands",1
"1963","Slovakia",2
"1963","Sweden",1
"1964","Belgium",2
"1964","Czechia",2
"1964","France",13
